,county,cases,deaths
717,Saratoga,2,0
718,Westchester,69,0
719,Chatham,1,0
720,Wake,1,0
721,Tulsa,1,0
722,Jackson,2,0
723,Klamath,1,0
724,Washington,3,0
725,Delaware,1,0
726,Montgomery,2,0
727,Wayne,1,0
728,Unknown,3,0
729,Charleston,1,0
730,Kershaw,1,0
731,Williamson,1,0
732,Bexar,11,0
733,Fort Bend,3,0
734,Harris,5,0
735,Davis,1,0
736,Salt Lake,1,0
737,Washington,1,0
738,Bennington,1,0
739,Fairfax,1,0
740,Chelan,1,0
741,Clark,1,0
742,Jefferson,1,0
743,King,72,16
744,Kittitas,1,0
745,Pierce,3,0
746,Snohomish,26,0
747,Spokane,4,0
748,Walla Walla,1,0
749,Dane,1,0
750,Maricopa,2,0
751,Pinal,3,0
752,Alameda,3,0
753,Contra Costa,9,0
754,Fresno,1,0
755,Humboldt,1,0
756,Los Angeles,14,0
757,Madera,1,0
758,Marin,1,0
759,Napa,1,0
760,Orange,3,0
761,Placer,7,1
762,Riverside,1,0
763,Sacramento,3,0
764,San Diego,1,0
765,San Francisco,11,0
766,San Mateo,1,0
767,Santa Clara,37,0
768,Santa Cruz,1,0
769,Solano,12,0
770,Sonoma,3,0
771,Yolo,1,0
772,Denver,2,0
773,Douglas,3,0
774,Eagle,1,0
775,El Paso,1,0
776,Jefferson,1,0
777,Fairfield,1,0
778,District of Columbia,1,0
779,Broward,3,0
780,Charlotte,1,0
781,Hillsborough,2,0
782,Lee,2,1
783,Manatee,2,0
784,Okaloosa,1,0
785,Santa Rosa,1,1
786,Volusia,1,0
787,Cherokee,1,0
788,Cobb,3,0
789,Fulton,5,0
790,Gwinnett,1,0
791,Polk,1,0
792,Honolulu,2,0
793,Cook,7,0
794,Hendricks,1,0
795,Marion,1,0
796,Johnson,3,0
797,Johnson,1,0
798,Fayette,2,0
799,Harrison,1,0
800,Jefferson,1,0
801,Harford,1,0
802,Montgomery,4,0
803,Berkshire,1,0
804,Middlesex,10,0
805,Norfolk,7,0
806,Suffolk,9,0
807,Worcester,1,0
808,Carver,1,0
809,Ramsey,1,0
810,St. Louis,1,0
811,Douglas,16,0
812,Clark,2,0
813,Washoe,2,0
814,Grafton,3,0
815,Rockingham,1,0
816,Bergen,4,0
817,Camden,1,0
818,Passaic,1,0
819,Nassau,5,0
820,New York City,14,0
821,Rockland,2,0
822,Saratoga,2,0
823,Suffolk,1,0
824,Ulster,1,0
825,Westchester,81,0
826,Chatham,1,0
827,Wake,1,0
828,Tulsa,1,0
829,Douglas,1,0
830,Jackson,2,0
831,Klamath,1,0
832,Marion,1,0
833,Washington,8,0
834,Delaware,1,0
835,Montgomery,4,0
836,Wayne,1,0
837,Unknown,3,0
838,Charleston,1,0
839,Kershaw,4,0
840,Spartanburg,1,0
841,Davidson,1,0
842,Shelby,1,0
843,Williamson,1,0
844,Bexar,11,0
845,Fort Bend,6,0
846,Harris,6,0
847,Davis,1,0
848,Salt Lake,1,0
849,Washington,1,0
850,Bennington,1,0
851,Fairfax,2,0
852,Chelan,1,1
853,Clark,1,0
854,Jefferson,1,0
855,King,91,18
856,Kitsap,1,0
857,Kittitas,1,0
858,Pierce,4,0
859,Snohomish,36,0
860,Spokane,4,0
861,Walla Walla,1,0
862,Dane,1,0
863,Maricopa,2,0
864,Pima,1,0
865,Pinal,3,0
866,Alameda,24,0
867,Contra Costa,9,0
868,Fresno,1,0
869,Humboldt,1,0
870,Los Angeles,19,0
871,Madera,1,0
872,Marin,2,0
873,Napa,1,0
874,Orange,5,0
875,Placer,7,1
876,Riverside,4,0
877,Sacramento,9,0
878,San Diego,2,0
879,San Francisco,16,0
880,San Mateo,9,0
881,Santa Clara,43,1
882,Santa Cruz,2,0
883,Shasta,1,0
884,Solano,12,0
885,Sonoma,3,0
886,Yolo,1,0
887,Arapahoe,1,0
888,Denver,3,0
889,Douglas,3,0
890,Eagle,2,0
891,El Paso,1,0
892,Jefferson,1,0
893,Larimer,1,0
894,Fairfield,2,0
895,District of Columbia,4,0
896,Broward,3,0
897,Charlotte,1,0
898,Hillsborough,2,0
899,Lee,2,1
900,Manatee,2,0
901,Okaloosa,1,0
902,Santa Rosa,1,1
903,Volusia,2,0
904,Cherokee,1,0
905,Cobb,4,0
906,DeKalb,2,0
907,Fayette,1,0
908,Floyd,1,0
909,Fulton,5,0
910,Gwinnett,2,0
911,Polk,1,0
912,Honolulu,2,0
913,Cook,11,0
914,Hendricks,2,0
915,Marion,1,0
916,Noble,1,0
917,Johnson,7,0
918,Pottawattamie,1,0
919,Johnson,1,0
920,Fayette,3,0
921,Harrison,1,0
922,Jefferson,1,0
923,Jefferson,1,0
924,Harford,1,0
925,Montgomery,4,0
926,Prince George's,1,0
927,Berkshire,5,0
928,Middlesex,15,0
929,Norfolk,10,0
930,Suffolk,10,0
931,Worcester,1,0
932,Carver,1,0
933,Ramsey,1,0
934,St. Louis,1,0
935,Douglas,16,0
936,Clark,2,0
937,Washoe,2,0
938,Grafton,3,0
939,Rockingham,1,0
940,Bergen,5,0
941,Camden,1,0
942,Hudson,1,0
943,Monmouth,2,0
944,Passaic,1,0
945,Union,1,0
946,Nassau,17,0
947,New York City,20,0
948,Rockland,4,0
949,Saratoga,2,0
950,Suffolk,1,0
951,Ulster,1,0
952,Westchester,97,0
953,Chatham,1,0
954,Wake,6,0
955,Cuyahoga,3,0
956,Tulsa,1,0
957,Douglas,1,0
958,Jackson,2,0
959,Klamath,1,0
960,Marion,1,0
961,Washington,8,0
962,Delaware,1,0
963,Monroe,1,0
964,Montgomery,7,0
965,Wayne,1,0
966,Unknown,3,0
967,Charleston,1,0
968,Kershaw,5,0
969,Spartanburg,1,0
970,Davidson,1,0
971,Shelby,1,0
972,Williamson,2,0
973,Bexar,11,0
974,Collin,1,0
975,Fort Bend,6,0
976,Harris,6,0
977,Davis,1,0
978,Salt Lake,1,0
979,Washington,1,0
980,Bennington,1,0
981,Fairfax,4,0
982,Virginia Beach city,1,0
983,Chelan,1,1
984,Clark,1,0
985,Jefferson,1,0
986,King,117,21
987,Kitsap,1,0
988,Kittitas,1,0
989,Pierce,7,0
990,Snohomish,45,0
991,Spokane,4,0
992,Walla Walla,1,0
993,Dane,1,0
994,Pierce,1,0
995,Maricopa,2,0
996,Pima,1,0
997,Pinal,3,0
998,Alameda,25,0
999,Contra Costa,9,0
1000,Fresno,1,0
1001,Humboldt,1,0
1002,Los Angeles,20,0
1003,Madera,1,0
1004,Marin,2,0
1005,Napa,1,0
1006,Orange,5,0
1007,Placer,7,1
1008,Riverside,4,0
1009,Sacramento,9,1
1010,San Diego,2,0
1011,San Francisco,17,0
1012,San Joaquin,1,0
1013,San Mateo,9,0
1014,Santa Clara,45,1
1015,Santa Cruz,2,0
1016,Shasta,1,0
1017,Solano,12,0
1018,Sonoma,3,0
1019,Ventura,1,0
1020,Yolo,1,0
1021,Arapahoe,2,0
1022,Denver,4,0
1023,Douglas,3,0
1024,Eagle,3,0
1025,El Paso,1,0
1026,Gunnison,1,0
1027,Jefferson,2,0
1028,Larimer,1,0
1029,Fairfield,2,0
1030,District of Columbia,4,0
1031,Alachua,1,0
1032,Broward,4,0
1033,Charlotte,1,0
1034,Collier,3,0
1035,Hillsborough,2,0
1036,Lee,2,1
1037,Manatee,2,0
1038,Nassau,1,0
1039,Okaloosa,1,0
1040,Pasco,1,0
1041,Pinellas,2,0
1042,Santa Rosa,1,1
1043,Volusia,2,0
1044,Charlton,1,0
1045,Cherokee,1,0
1046,Cobb,7,0
1047,DeKalb,2,0
1048,Fayette,1,0
1049,Floyd,1,0
1050,Fulton,6,0
1051,Gwinnett,2,0
1052,Polk,1,0
1053,Honolulu,2,0
1054,Cook,17,0
1055,Kane,1,0
1056,McHenry,1,0
1057,Adams,1,0
1058,Boone,1,0
1059,Hendricks,2,0
1060,Marion,1,0
1061,Noble,1,0
1062,Johnson,12,0
1063,Pottawattamie,1,0
1064,Johnson,1,0
1065,Fayette,3,0
1066,Harrison,3,0
1067,Jefferson,1,0
1068,Jefferson,1,0
1069,Orleans,5,0
1070,Harford,1,0
1071,Montgomery,5,0
1072,Prince George's,3,0
1073,Berkshire,7,0
1074,Essex,1,0
1075,Middlesex,41,0
1076,Norfolk,22,0
1077,Suffolk,20,0
1078,Worcester,1,0
1079,Oakland,1,0
1080,Wayne,1,0
1081,Anoka,1,0
1082,Carver,1,0
1083,Ramsey,1,0
1084,St. Louis,1,0
1085,Douglas,17,0
1086,Clark,2,0
1087,Washoe,2,0
1088,Grafton,3,0
1089,Rockingham,2,0
1090,Bergen,7,1
1091,Burlington,2,0
1092,Camden,1,0
1093,Hudson,1,0
1094,Monmouth,2,0
1095,Passaic,1,0
1096,Union,1,0
1097,Nassau,19,0
1098,New York City,37,0
1099,Rockland,6,0
1100,Saratoga,2,0
1101,Suffolk,1,0
1102,Ulster,1,0
1103,Westchester,107,0
1104,Chatham,1,0
1105,Wake,6,0
1106,Cuyahoga,3,0
1107,Tulsa,2,0
1108,Douglas,1,0
1109,Jackson,2,0
1110,Klamath,1,0
1111,Marion,1,0
1112,Multnomah,1,0
1113,Washington,8,0
1114,Delaware,1,0
1115,Monroe,1,0
1116,Montgomery,8,0
1117,Philadelphia,1,0
1118,Wayne,1,0
1119,Unknown,5,0
